method,cost,hub_lat,hub_lon,iterations,time_seconds
L-BFGS-B,28198.538704269777,41.02003640082151,28.923625469353617,6,0.024112100014463067
Nelder-Mead,28198.538763774817,41.020040651205285,28.923614347485806,38,0.018659699999261647
Powell,28198.54073207618,41.02002300316507,28.923561109282314,2,0.023298899992369115
