n,hub_lat,hub_lon,cost
100,41.01543800059818,28.87400361954146,1578.6251372779461
250,41.01273557290114,28.858621328783723,3578.6609103953697
500,41.015979188995104,28.848538236880447,8133.15445723367
750,41.017124920588806,28.868771344426808,12022.967728366033
1000,41.0177059200918,28.875277379074582,16905.055244069354
1845,41.02003640082151,28.923625469353617,28198.538704269777
